,PROPERTY ADDRESS,216 N. Oak Park Avenue #1Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2023 YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2024 YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2025 YR TOTAL
,MULTI-PROPERTY INCOME OVERVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHER INCOME,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C4:N4),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P4:AA4),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC4:AN4)
,RENTAL INCOME,,,,,,,,,,1775,1775,1775,=SUM(C5:N5),1775,1775,1775,1775,1775,1775,1775,1775,1775,1950,1950,1950,=SUM(P5:AA5),1950,1950,1950,1950,1950,1950,1450,2450,0,0,0,3900,=SUM(AC5:AN5)
,GROSS RENTAL INCOME,=SUM(C4:C5),=SUM(D4:D5),=SUM(E4:E5),=SUM(F4:F5),=SUM(G4:G5),=SUM(H4:H5),=SUM(I4:I5),=SUM(J4:J5),=SUM(K4:K5),=SUM(L4:L5),=SUM(M4:M5),=SUM(N4:N5),=SUM(C6:N6),=SUM(P4:P5),=SUM(Q4:Q5),=SUM(R4:R5),=SUM(S4:S5),=SUM(T4:T5),=SUM(U4:U5),=SUM(V4:V5),=SUM(W4:W5),=SUM(X4:X5),=SUM(Y4:Y5),=SUM(Z4:Z5),=SUM(AA4:AA5),=SUM(P6:AA6),=SUM(AC4:AC5),=SUM(AD4:AD5),=SUM(AE4:AE5),=SUM(AF4:AF5),=SUM(AG4:AG5),=SUM(AH4:AH5),=SUM(AI4:AI5),=SUM(AJ4:AJ5),=SUM(AK4:AK5),=SUM(AL4:AL5),=SUM(AM4:AM5),=SUM(AN4:AN5),=SUM(AC6:AN6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXPENSES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,YR TOTAL
,='[1]Property Management Overview'!B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MULTI-PROPERTY EXPENSES OVERVIEW,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C10:N10),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P10:AA10),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC10:AN10)
,MARKETING / ADVERTISING,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C11:N11),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P11:AA11),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC11:AN11)
,SERVICE FEES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C12:N12),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P12:AA12),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC12:AN12)
,REMITTED TAX,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C13:N13),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P13:AA13),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC13:AN13)
,RENTER'S INSURANCE,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,=SUM(C14:N14),35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,35.08,=SUM(P14:AA14),42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,=SUM(AC14:AN14)
,INTERIOR MAINTENANCE,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C15:N15),250,0,0,0,,0,0,0,0,0,0,0,=SUM(P15:AA15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,11.0,=SUM(AC15:AN15)
,INTERIOR REPAIR,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C16:N16),0,0,0,0,80,220,0,0,0,0,250,0,=SUM(P16:AA16),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,=SUM(AC16:AN16)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C17:N17),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P17:AA17),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC17:AN17)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C18:N18),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P18:AA18),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC18:AN18)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C19:N19),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P19:AA19),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC19:AN19)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C20:N20),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P20:AA20),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC20:AN20)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C21:N21),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P21:AA21),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC21:AN21)
