,PROPERTY ADDRESS,"524 Ferdinand Avenue, Unit 1 (residence through sale 2025-12-18)",,,,,,,,,,,,
,INCOME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2025 YR TOTAL
,STR / RENTAL INCOME,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C3:N3)
,OTHER INCOME,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C4:N4)
,GROSS RENTAL INCOME,=SUM(C3:C4),=SUM(D3:D4),=SUM(E3:E4),=SUM(F3:F4),=SUM(G3:G4),=SUM(H3:H4),=SUM(I3:I4),=SUM(J3:J4),=SUM(K3:K4),=SUM(L3:L4),=SUM(M3:M4),=SUM(N3:N4),=SUM(C5:N5)
,,,,,,,,,,,,,,
,EXPENSES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2025 YR TOTAL
,MARKETING / ADVERTISING,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C8:N8)
,SERVICE FEES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C9:N9)
,REMITTED TAX,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C10:N10)
,INSURANCE,0.0,78.76,78.75,78.75,78.75,78.75,78.75,80.19,0.0,0.0,0.0,0.0,=SUM(C11:N11)
,INTERIOR MAINTENANCE,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C12:N12)
,EXTERIOR REPAIRS,0,66.56,688.6,39.57,0,0,50.99,0,34.86,68.48,32.33,0,=SUM(C13:N13)
,VILLAGE WATER AND REFUSE,0,100.55,0,90.67,0,112.83,0,137.63,0,132.76,0,0,=SUM(C14:N14)
,GAS,98.57,133.33,115.82,77.8,79.95,48.08,0,79.33,36.25,38.22,0,139.35,=SUM(C15:N15)
,ELECTRIC,132.94,216.44,184.09,60.95,83.76,69.69,164.88,203.43,187.63,139.78,71.29,50.38,=SUM(C16:N16)
,INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C17:N17)
,CLEANING / TURNOVER,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C18:N18)
,SUPPLIES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C19:N19)
,EQUIPMENT/APPLIANCE PURCHASES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C20:N20)
,LAND TAX,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C21:N21)
,LOANS INTEREST (from 1098),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C22:N22)
,MORTGAGE (cash P+I — memo only),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C23:N23)
,HOA,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C24:N24)
,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C25:N25)
,TOTAL EXPENSES,=SUM(C8:C25),=SUM(D8:D25),=SUM(E8:E25),=SUM(F8:F25),=SUM(G8:G25),=SUM(H8:H25),=SUM(I8:I25),=SUM(J8:J25),=SUM(K8:K25),=SUM(L8:L25),=SUM(M8:M25),=SUM(N8:N25),=SUM(C26:N26)
,,,,,,,,,,,,,,
,YEAR-TO-DATE INCOME LESS EXPENSES,=C5-C26,=D5-D26,=E5-E26,=F5-F26,=G5-G26,=H5-H26,=I5-I26,=J5-J26,=K5-K26,=L5-L26,=M5-M26,=N5-N26,=SUM(C28:N28)
,,,,,,,,,,,,,,
,"§121 residence through sale 2025-12-18. Nicor large / water 50/50 CONFIRMED. March HD + remaining HD/Lowe’s/IKEA 524-share → EXTERIOR REPAIRS (U1 $981.39). ELECTRIC yellow — REMIND JACOB: double-check ComEd with Megan (checking ACH INDN Megan Gerrard $1,565.26; paid ACH and/or check?). Internet still $0 on this tab (Prime ATT on Unit 2). State Farm: bundled home+auto (was Travelers home / Geico auto). Only HOME share on this INSURANCE line (50/50 with Unit 2, yellow proxy). Auto + Geico credit personal. Not tax advice.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
