,PROPERTY ADDRESS,"524 Ferdinand Avenue, Unit 2",,,,,,,,,,,,,"524 Ferdinand Avenue, Unit 2",,,,,,,,,,,,,"524 Ferdinand Avenue, Unit 2",,,,,,,,,,,,
,INCOME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2023 YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2024 YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,2025 YR TOTAL
,MULTI-PROPERTY INCOME OVERVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MULTI-PROPERTY INCOME OVERVIEW,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C4:N4),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P4:AA4),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC4:AN4)
,RENTAL INCOME,,,,,,,,,,,600,450,=SUM(C5:N5),,,,,,,,,,,,22705,=SUM(P5:AA5),0,0,0,0,0,3479.6,3180.81,1757.5,2690.16,1261.64,1509.84,0,=SUM(AC5:AN5)
,GROSS RENTAL INCOME,=SUM(C4:C5),=SUM(D4:D5),=SUM(E4:E5),=SUM(F4:F5),=SUM(G4:G5),=SUM(H4:H5),=SUM(I4:I5),=SUM(J4:J5),=SUM(K4:K5),=SUM(L4:L5),=SUM(M4:M5),=SUM(N4:N5),=SUM(C6:N6),=SUM(P4:P5),=SUM(Q4:Q5),=SUM(R4:R5),=SUM(S4:S5),=SUM(T4:T5),=SUM(U4:U5),=SUM(V4:V5),=SUM(W4:W5),=SUM(X4:X5),=SUM(Y4:Y5),=SUM(Z4:Z5),=SUM(AA4:AA5),=SUM(P6:AA6),=SUM(AC4:AC5),=SUM(AD4:AD5),=SUM(AE4:AE5),=SUM(AF4:AF5),=SUM(AG4:AG5),=SUM(AH4:AH5),=SUM(AI4:AI5),=SUM(AJ4:AJ5),=SUM(AK4:AK5),=SUM(AL4:AL5),=SUM(AM4:AM5),=SUM(AN4:AN5),=SUM(AC6:AN6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXPENSES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,YR TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,YR TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MULTI-PROPERTY EXPENSES OVERVIEW,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C10:N10),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P10:AA10),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC10:AN10)
,MARKETING / ADVERTISING,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C11:N11),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P11:AA11),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC11:AN11)
,SERVICE FEES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C12:N12),0,0,0,0,0,0,0,0,0,0,0,950.6,=SUM(P12:AA12),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC12:AN12)
,REMITTED TAX,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C13:N13),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P13:AA13),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC13:AN13)
,INSURANCE,,,,,,,,,,,,,=SUM(C14:N14),,,,,,,,,,,,1455.09,=SUM(P14:AA14),0,78.77,78.76,78.76,78.76,78.76,78.76,80.19,0,0,0,0,=SUM(AC14:AN14)
,INTERIOR MAINTENANCE,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C15:N15),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P15:AA15),7.46,0,52.78,131.4,0,0,0,0,0,45.6,12.63,0,=SUM(AC15:AN15)
,EXTERIOR REPAIRS,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C16:N16),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P16:AA16),0,66.57,700.77,39.58,0,0,150.06,16.54,34.87,76.24,32.33,0,=SUM(AC16:AN16)
,VILLAGE WATER AND REFUSE,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C17:N17),0,0,0,0,0,0,0,0,0,0,0,0,1769.42,0,100.56,0,90.68,0,112.84,0,137.64,0,132.77,0,0,0
,GAS,0,0,0,0,0,0,0,26.02,110.08,137.34,31.56,62.3,=SUM(C18:N18),62.3,37.13,25.46,28.11,21.2,20.5,22.27,21.6,21.6,21.65,24.34,30.76,=SUM(P18:AA18),39.7,31.37,32.09,26.31,25.41,24.17,23.53,22.7,22.71,22.72,0,53.71,=SUM(AC18:AN18)
,ELECTRIC,0,0,0,0,0,0,0,36.38,36.47,34.52,32.21,45.6,=SUM(C19:N19),0,0,0,0,0,0,0,,,,,806.46,=SUM(P19:AA19),59.04,57.47,49.15,54.52,49.73,57.54,109,123.54,106.93,62.88,46.47,52.88,=SUM(AC19:AN19)
,INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C20:N20),50,50,50,50,50,50,50,50,50,50,50,50,=SUM(P20:AA20),45,45,45,45,50,50,50,50,50,50,50,0,=SUM(AC20:AN20)
,CORRESPONDENCE,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C21:N21),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P21:AA21),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC21:AN21)
,INTERIOR DESIGNER/ ORGANIZER FEES,0,0,0,0,0,0,0,0,720,690,240,240,=SUM(C22:N22),0,0,0,0,0,0,0,0,,,,,=SUM(P22:AA22),0,0,0,0,0,0,0,0,,,,,=SUM(AC22:AN22)
,TRAVEL EXPENSES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C23:N23),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P23:AA23),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC23:AN23)
