827 Grove CapEx,,,
,,,
Item,Amount,Status,
Purchase close,2025-12-18,LOCKED,
Purchase price,670000,LOCKED,
TY2025 CapEx for return,53660,LOCKED,
TY2026 CapEx,268532,LOCKED,
CapEx UNKNOWN,9401.93,TBD,
Radon on CD,2550,TBD,
,,,
Prime HD / Lowe’s / IKEA — 827 N Grove the house 1/3 (NOT Grove Collaborative supplies),,,
Date,Merchant,Full txn,Grove 1/3
2025-02-16,THE HOME DEPOT #1901,34.01,11.33
2025-02-17,IKEA BOLINGBROOK,299.37,99.79
2025-02-18,IKEA 471245314,65.98,21.99
2025-03-23,LOWES #01845,55.69,18.56
2025-04-20,THE HOME DEPOT #1901,236.36,78.78
2025-04-20,THE HOME DEPOT #1901,1.07,0.35
2025-07-06,THE HOME DEPOT #1901,305.94,101.98
2025-09-01,LOWES #01845,209.19,69.73
2025-10-11,THE HOME DEPOT #1901,410.88,136.96
2025-11-02,THE HOME DEPOT #1901,193.97,64.65
,Grove 1/3 total,,604.12
,,,
"CPA: this 1/3 is pre-close hardware/furniture for 827 N Grove the house (close 2025-12-18). This is NOT Grove Collaborative. Do NOT fold into locked TY2025 CapEx $53,660 (the 2025-12-19 contractor payments) until you say so. May be additional 827 basis / CapEx / personal — FLAG.",,,
,,,
