Prime HOME HD / Lowe’s / IKEA split (user 2026-09-18) — Extra Space $360 excluded / HOLD,,,,,,,,
"March Home Depot 100% → 524 repairs, then 50/50 Unit 1 / Unit 2. Each remaining txn split 1/3 524 / 1/3 personal / 1/3 827 Grove; leftover pennies to 524 then personal. 524 third then 50/50 (extra penny to Unit 2). Not tax advice.",,,,,,,,
,,,,,,,,
Date,Merchant,Txn $,Rule,524 $,Personal $,Grove $,U2 50%,U1 50%
2025-03-15,THE HOME DEPOT #1901,28.14,"March HD 100% 524 repairs, then 50/50 U1/U2",28.14,0.0,0.0,14.07,14.07
2025-03-15,THE HOME DEPOT #1901,50.75,"March HD 100% 524 repairs, then 50/50 U1/U2",50.75,0.0,0.0,25.38,25.37
2025-03-22,THE HOME DEPOT #1901,93.96,"March HD 100% 524 repairs, then 50/50 U1/U2",93.96,0.0,0.0,46.98,46.98
2025-03-26,HOMEDEPOT.COM,1185.8,"March HD 100% 524 repairs, then 50/50 U1/U2",1185.8,0.0,0.0,592.9,592.9
2025-02-16,THE HOME DEPOT #1901,34.01,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),11.34,11.34,11.33,5.67,5.67
2025-02-17,IKEA BOLINGBROOK,299.37,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),99.79,99.79,99.79,49.9,49.89
2025-02-18,IKEA 471245314,65.98,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),22.0,21.99,21.99,11.0,11.0
2025-03-23,LOWES #01845,55.69,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),18.57,18.56,18.56,9.29,9.28
2025-04-20,THE HOME DEPOT #1901,236.36,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),78.79,78.79,78.78,39.4,39.39
2025-04-20,THE HOME DEPOT #1901,1.07,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),0.36,0.36,0.35,0.18,0.18
2025-07-06,THE HOME DEPOT #1901,305.94,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),101.98,101.98,101.98,50.99,50.99
2025-09-01,LOWES #01845,209.19,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),69.73,69.73,69.73,34.87,34.86
2025-10-11,THE HOME DEPOT #1901,410.88,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),136.96,136.96,136.96,68.48,68.48
2025-11-02,THE HOME DEPOT #1901,193.97,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction),64.66,64.66,64.65,32.33,32.33
,TOTAL,3171.11,,1962.83,604.16,604.12,981.44,981.39
,,,,,,,,
"Extra Space 2025-12-10 $360.00 — HOLD, not in this split.",,,,,,,,
