State Farm 2025 — home vs auto split (user 2026-09-18) — not tax advice,,,,,,,
"LOCKED 2026-09-20: Travelers was home insurance before for Ferdinand; Geico was for the cars. 2025 State Farm is bundled car + home. Feb 11 Prime charged two unbundled policies: $157.53 (HOME — replaces Travelers) and $145.25 (AUTO — leftover Prime SF in 2026 after 524 sold is ~$147). Mar–Jul combined $302.75; Aug $308.26. Home = round(bill × 157.53/302.78); auto = remainder. Only HOME → 524 INSURANCE 50/50 U1/U2 (yellow; do not invent a new split). Travelers leftover 2025 (Jan leftover previously noted) is 524 home, not auto — $0 on Prime/Sapphire/BoA/Monarch. Geico *AUTO credit $540.89 (2025-02-11) is unused auto premium — personal, not 524, not EPGC. No Sep–Dec SF on Prime.",,,,,,,
,,,,,,,
Month,Prime billed $,HOME → 524,AUTO personal,U2 50%,U1 50%,On 524 P&L?,Note
FEB,302.78,157.53,145.25,78.77,78.76,HOME only (yellow),Feb 11 two policies $157.53 + $145.25
MAR,302.75,157.51,145.24,78.76,78.75,HOME only (yellow),Mar combined
APR,302.75,157.51,145.24,78.76,78.75,HOME only (yellow),Apr combined
MAY,302.75,157.51,145.24,78.76,78.75,HOME only (yellow),May combined
JUN,302.75,157.51,145.24,78.76,78.75,HOME only (yellow),Jun combined
JUL,302.75,157.51,145.24,78.76,78.75,HOME only (yellow),Jul combined
AUG,308.26,160.38,147.88,80.19,80.19,HOME only (yellow),Aug combined
TOTAL,2124.79,1105.46,1019.33,552.76,552.7,,
,,,,,,,
Geico *AUTO credit 2025-02-11,,,-540.89,,,EXCLUDED personal,LOCKED 2026-09-20: Geico = cars. Unused auto premium when switching to State Farm auto. Not 524. Not EPGC.
Travelers leftover Jan 2025 (prior 524 home),,0.0,,,,LOCKED 524 home,"User: Travelers was home for Ferdinand. Leftover 2025 is 524 INSURANCE, not auto. $0 on cards/Monarch."
CPA: 2023–24 Personal Income booked all homeowners on Unit 1 ($0 on Unit 2). This packet 50/50’s the 2025 home share across both units because it is a building policy. Swap to 100% Unit 1 if that is the method you want to keep. Declarations pages beat this proxy.,,,,,,,
,,,,,,,
